statement,category
Inheritance dispute: deceased's sect (Sunni vs. Shia) determines property division; also addresses limitation for challenging mutations.,Civil
"Civil Appeal against conditional company winding up due to disputed debt under guarantees; SC finds bona fide dispute, High Court erred.",Civil
Civil Appeal: Specific performance of land sale agreement against subsequent bona fide purchasers without notice of prior contract.,Civil
NADRA contractual employees' termination appeals; constitutional petition maintainability regarding non-statutory service rules.,Constitutional
,Civil
Civil appeal challenging FST's modification of dismissal penalty to increment stoppage for postal clerk's negligence and financial loss.,Civil
"Land acquisition for Multan Bye-Pass: SC mandates interest payment on compensation under Land Acquisition Act, 1894.",Civil
Civil appeal challenging fraudulent government land allotment to a deceased person; Supreme Court upholds Board of Revenue's cancellation of mutations.,Civil
"K-Electric, consumers, Federal Government dispute electricity tariff, ISP subsidy adjustments, and NEPRA's regulatory authority.",Civil
Civil appeal over fraudulent Release Deed transferring inherited property from sisters to brother without consideration.,Civil
"Supreme Court dismisses appeal in pre-emption suit concerning Talab-i-Ishhad notice omission and property possession, upholding High Court decision.",Civil
Civil Appeal against Accountability Court judgment involving NAB dismissed by Supreme Court.,Civil
Challenge to district reconstitution in KPK's PATA concerning violation of Article 246 constitutional status.,Constitutional
No judgment text provided to analyze and extract case details.,Civil
SC remands case regarding regularization of Sindh contract employees after High Court's suo motu declaration of 2013 Act as ultra vires.,Constitutional
Sales tax dispute: Department failed to prove fake invoices; onus of proof wrongly placed on taxpayer for input tax claim.,Civil
"Civil appeal dismissed, upholding Election Tribunal's decision in Balochistan Provincial Assembly election rigging and corrupt practices dispute.",Civil
Challenge to Election Act Section 9(1) for ECP re-poll over low women voter turnout; constitutional validity upheld.,Constitutional
Dispute: Exclusive proprietary rights over a pathway in Abadi Deh versus common land for village community use.,Civil
"Legality of Finance Act amendments to labor welfare contributions (WWC, EOBI); defining whether levies are 'tax' or 'fee' under Constitution Article 73.",Constitutional
"Customs appeal on interpretation of ""smuggled goods"" under Customs Act 1969, Section 2(s), confiscation, and redemption fine per SRO 574.",Civil
Interpreting CSR Article 371-A for pensionary benefits of temporary government service and re-visiting Mir Ahmad Khan judgment.,Civil
"Supreme Court adjudicated employment termination, reinstatement, and back benefits, finding employees lacked bona fides for refusing reinstatement offer as workmen.",Civil
No judgment text provided for analysis; unable to extract case details or context.,Civil
"Customs Act: Regulatory duty on scrap exports based on goods declaration date, not contract; interpreting Sections 31, 131.",Civil
"Daughter seeks 1/3 inheritance share in father's land; fraudulent mutation by brother cancelled, full property share restored.",Civil
Inheritance dispute over land; delayed challenge to mutations/sales. Bona fide purchaser (housing society) protected under Transfer of Property Act.,Civil
Customs Act 1969: Provisional assessment finality under S.81 doesn't preclude S.32 recovery of short-levied duty.,Civil
"Civil Appeal: appellant failed to prove Talb-i-Ishhad notice in pre-emption suit, dismissing claim.",Civil
"Election de-notification of MPA for false educational qualification declaration in 2008 election papers, violating Article 62(1)(f) of Constitution.",Constitutional
"Income tax appeals: minimum tax on 'turnover' including presumptive tax, and 'supply of goods' interpretation under Ordinances 1979/2001.",Civil
"NAB appeal clarifies Cr.P.C. witness re-examination; bars prosecution witnesses as defense, restoring Accountability Court decision.",Criminal
Income tax assessment revision: retrospective application of ITO 2001's Section 122(5A) to repealed ITO 1979 assessments through saving clause.,Civil
"Election appeal: set aside voidance for unproven rigging, illegal practices, non-material effect on results under Representation of People Act.",Civil
"FBR appeals High Court decision on withdrawal of sales tax and excise duty exemptions, invoking Economic Reforms Act and vested rights.",Constitutional
"Supreme Court reviews fee regulation for private schools; upholds Punjab's 8% increase, directs Sindh to amend 5% cap to 8%.",Constitutional
"Income Tax appeal on disallowing business expenditure deduction for employee sports/social activities; not ""wholly and exclusively"" for business.",Civil
"Supreme Court examines vires of Punjab/Sindh laws imposing fee caps on private schools, balancing Article 18 and 25-A rights.",Constitutional
Adjournment granted in Civil Appeals concerning Workers Welfare Board/Fund due to counsel's funeral attendance.,Civil
"Supreme Court upholds GIDC Act 2015 as valid fee, not tax, for gas infrastructure projects despite delays, with recovery directions.",Constitutional
"Constitutionality of GIDC Act, 2015 challenged; fiscal levy as fee lacks service timeline, deemed unconstitutional tax.",Constitutional
"CDA appeal regarding plot allotment, delayed payment charges, and contract misinterpretation by lower courts in a civil dispute.",Civil
"Specific performance suit for property sale denied due to limitation for owner, and plaintiff's failure to prove readiness/willingness.",Civil
Constabulary personnel dismissed for insubordination; SC orders de novo inquiry due to Rule 18 procedural irregularities; High Court judgment partially set aside.,Civil
Customs duty dispute: Imported motorcycle components classification under PCT 87.11 vs. 87.14 and SRO 436(1)/2001 applicability.,Civil
"Appeals partly allowed, granting 8% compound interest on land acquisition compensation under S.34 Land Acquisition Act, 1894.",Civil
"Income Tax Ordinance 2001: Appeal dismissed over lack of ""definite information"" for amending deemed assessment for undeclared property acquisition.",Civil
"Appeal against High Court judgment granting antedated/proforma promotion to civil servant, violating Article 212 and service rules.",Civil
"Appeal dismissed: Gifts as withdrawal rights from firm's share, not via banking channels, not deemed income under S.12(18) ITO.",Civil
"Tax defaulter challenges property auction sale certificate and mutation, alleging fraud and procedural irregularities under Income Tax Rules.",Civil
"Cantonment Board lacked statutory authority under Cantonment Act, 1924 to levy parking fees on public transport vehicles; High Court judgment upheld.",Civil
,Civil
"Evacuee property transfer cancellation appeal: Nedous Hotel land illegally allotted to respondent under Displaced Persons Act, Settlement Department jurisdiction affirmed.",Civil
"Empty judgment text; analysis of statement, priority, and category not possible.",Civil
"Civil Appeal challenges High Court's fresh arbitration order in Cantonment Board's hoarding fee dispute, questioning writ jurisdiction against award.",Civil
Dispute over NEPRA's 'full strength' for tariff review: quorum vs. statutory composition under 1997 Act and 1998 Rules.,Civil
"Supreme Court dismisses appeal against setting aside civil servant's person-specific BPS-20 promotion, upholding seniority and anti-discrimination.",Civil
Upholding nullification of Provincial Assembly election for PP-97 due to polling station irregularities; ordering bye-elections.,Civil
No judgment text provided for analysis to extract case details.,Civil
"Dispute over appointing authority and seniority of judicial officers under KPK Judicial Service Rules, 2001, between Chief Justice and High Court.",Civil
"SC rules Sindh High Court civil jurisdiction can hear customs tax exemption disputes, but sparingly, with 50% deposit.",Civil
"Police officers' seniority dispute settled by Supreme Court clarifying Rule 12.2(3): confirmation date is final, not appointment date.",Civil
"Specific performance suit for shop sale dismissed due to contract novation by unchallenged arbitration award, allowing eviction.",Civil
"Civil Appeal against FST judgment regarding removal from service of Assistant Librarian due to alleged over-age, despite age relaxation policy.",Civil
Bank Officer Grade-II/Manager is not a 'workman' under labour laws; Labour Court lacks jurisdiction for compulsory retirement grievance.,Civil
"Widow denied family pension due to deceased husband's insufficient qualifying service under University Pension Statute, despite assistance package.",Civil
Civil appeal on land sale; mutual mistake of fact regarding deficient area; money decree granted under Contract and Limitation Acts.,Civil
SC dismissed military officers' appeals against court-martial conviction for not reporting war conspiracy; upheld dismissal and benefit cancellation.,Criminal
SC affirms High Court's ruling: pecuniary jurisdiction for civil appeals in partition suits determined by plaint valuation.,Civil
Civil servant's appeal against disciplinary action; Tribunal failed to consider full evidence of fraud. Remanded for fresh decision.,Civil
"Civil appeal challenging officer's reinstatement by Service Tribunal; dismissal for misconduct converted due to inquiry defects, denial of cross-examination.",Civil
"WAPDA pension dispute: widow's claim for deceased Chowkidar's permanent post pension, service period affirmed.",Civil
Zakat exemption dispute for Pakistan Insurance Corporation; interpreting 'Sahib-e-Nisab' and government ownership under Zakat & Ushr Ordinance.,Civil
"Appeal against dismissal of specific performance suit for land sale due to limitation, unproven agreement, and co-owner authority issues.",Civil
"Government employee's pro forma promotion upheld despite DPC delay and superannuation, citing right to consideration.",Civil
"SCP reversed Tribunal's order for proforma promotion and post-creation for a deputationist civil servant, citing excess jurisdiction.",Civil
"Land dispute involving fraudulent sale transactions, revenue record tampering, and inheritance claims, affirming High Court's decision to restore ownership.",Civil
No judgment text provided for analysis.,Civil
"Civil appeal dismissed as time-barred; concerned land ownership dispute, declaration suit, and consequential reliefs under Limitation Act.",Civil
"Supreme Court holds missing Board Resolution for filing insurance claim is curable defect, reversing High Court's dismissal.",Civil
Appeal against a suspect gift mutation depriving legal heirs; upholds Islamic inheritance principles and directs property distribution.,Civil
,Civil
Civil appeal on suit revival after ex-parte specific performance decree annulled for fraud/misrepresentation under Section 12(2) CPC.,Civil
"Challenge to Punjab Civil Servants' special zone reservation policy found unconstitutional, ultra vires Article 27(1); appeals dismissed.",Constitutional
Property attachment by bank; 2001 Ordinance Section 23(2) not retrospective to pre-existing Banking Court decree and sale deed.,Civil
"Civil appeal regarding specific performance of agricultural land sale, challenging High Court's dismissal over balance sale consideration deposit.",Civil
"Civil servants' promotion regularization from acting charge or vacancy date upheld, dismissing Sindh government appeal.",Civil
"Enforceability of specific performance for unsigned agreements to sell immovable property under Contract Act, Specific Relief Act.",Civil
"Civil servant promotion dispute: counting prior departmental service for BPS-18/19 eligibility under S.I. 157, remanding to Tribunal.",Civil
SC mandates candidate disclosure of omitted information via affidavit for 2018 General Elections under Elections Act 2017 for transparency.,Constitutional
"SC reverses High Court, dismisses ""Shezan"" trade mark registration for lack of distinctiveness and deception, upholding appellant's prior rights.",Civil
"Supreme Court dissolved PMDC, constituting an ad-hoc council to run its affairs after appeals and petitions.",Constitutional
Placeholder for empty judgment text; no specific legal issues identified.,Civil
"FPSC civil appeal regarding post-qualification experience for Executive Director (BS-21) recruitment, overturning High Court judgment on eligibility rules.",Civil
Appeals dismissed: Sindh Employees' Social Security Act's fixed contribution rates and minimum wage-based employer demands upheld by Supreme Court.,Civil
"Appeal dismissed: SC affirms ATC jurisdiction in multiple murder case from property dispute, interpreting 'design' for terrorism under ATA.",Criminal
"Civil appeal on land ownership dispute (shamilat) of public school, deemed time-barred under Limitation Act by Supreme Court.",Civil
"Land ownership dispute over Sangota Public School property, initially shamlat, deemed time-barred; emphasizes girls' education importance.",Civil
Civil appeal: house title dispute involving Benami transaction where respondent provided funds; legatees defend against real owner's claim.,Civil
Empty judgment text; unable to derive case information or details for analysis.,Civil
"KMC land lease dispute: Appellant's claim to additional plot dismissed as time-barred, lacking possession and legal character under Specific Relief Act.",Civil
"Supreme Court upholds Chief Minister's discretion in Vice Chancellor appointment under K.P. Universities Act, overturning High Court.",Civil
"SC rules PMDC admissions regulations invalid, strikes down repeated ordinances, asserting parliamentary supremacy over executive legislation and CCI.",Constitutional
"Dispute over land acquisition compensation for Fazle Haq College under Land Acquisition Act, 1894, seeking enhanced market value.",Civil
"Supreme Court rejected provincial employees' pay parity claim with federal staff, upholding federalism and budgetary autonomy.",Civil
Civil appeal concerning land dispute; fraudulent registered sale deeds and minor's contract invalidation affirmed.,Civil
,Civil
"Civil Appeal: Engineer's transfers, PEC registration for government work, and resolving Supreme Court conflict on PEC Act applicability, Article 25.",Civil
"SC: Redundancy from modernization is 'good cause' for newspaper employee termination, not bound by expired settlement.",Civil
"Supreme Court interprets QSO Article 128 and Evidence Act 1872 on admissibility of evidence, including DNA and witness testimony.",Civil
Landlord's ejectment plea based on unpaid maintenance charges not in lease deed; interpreting 'rent' under Sindh Rented Premises Ordinance.,Civil
"Civil appeal clarifies corporate authorization for suit institution, indoor management rule, and tentatively supports ratification of defects.",Civil
"SC examines PMDC admission regulations, validity of lapsed Ordinances amending PMDC Ordinance, and CCI's role in legislation.",Constitutional
,Civil
"SC Pakistan interprets Double Taxation Convention; software lease payments are royalties, not exempt business profits.",Civil
"SC interprets Sales Tax exemption SRO 77(I)/95 on imported/local plant machinery, differentiating factual review in writ petitions and tax references.",Civil
"Daughter challenges validity of father's property gift/mutations to sons, impacting her Shariah inheritance share.",Civil
"PIAC appeals EOBI decision declaring kitchen/engineering departments 'establishments' under Old-Age Benefits Act, challenging statutory body exemptions.",Civil
Civil appeal challenging High Court's reversal on fraudulent gift mutations and property devolution among legal heirs.,Civil
Inheritance dispute over agricultural land; limited ownership termination under customary law and devolution under Shariat; limitation for co-sharers.,Civil
"No judgment text provided, unable to analyze and extract case details.",Civil
"Supreme Court clarifies High Court's jurisdiction on civil servant post upgradation, ruling Article 212(3) no bar.",Constitutional
Specific performance of an unsigned agreement for sale; validity confirmed by consent and part payment despite lacking signature.,Civil
"Upholding daughter's inheritance under Islamic law, rejecting fraudulent gift mutation, emphasizing female heir protection and state's role.",Civil
WAPDA widow's pension claim upheld; deceased Chowkidar considered permanent employee with qualifying service for benefits.,Civil
Civil appeals on pre-emption suits concerning valid presentation before Tehsildar in Civil Judge's absence and limitation period.,Civil
"SC interprets Punjab Pre-emption Act S.23, adding 'purchase' to exempt Waqf/charitable property from pre-emption rights.",Civil
"KPK Govt. appeals High Court's decision on PMS 10% reserved quota rule amendment, denying attached department employees.",Civil
"PEMRA Chairman's dismissal challenged due to illegal self-appointment, tenure violation, and improper inquiry, but Supreme Court upheld it.",Civil
"Supreme Court dismisses appeal against Election Tribunal's order voiding NA-267 results due to rigging, vote irregularities.",Civil
"Seniority dispute of civil servant probationers; 2001 rules amendment cannot retrospectively apply, infringing legitimate expectation.",Civil
No judgment text provided; cannot perform legal analysis.,Civil
No case text provided for analysis; cannot extract details.,Civil
No case text provided for analysis; unable to derive specific details.,Civil
No judgment text provided for analysis; cannot extract case details.,Civil
"Supreme Court upholds Punjab Government's ban on new/expanding sugar mills under Industries Act, 1963, citing national interest and Article 18 constitutionality.",Constitutional
Dispute over Zarai Traqiati Bank's refusal to regularize Management Trainees performing officer duties after contract expiry.,Civil
"Appeal challenging pre-emption rights (shafi sharik, khalit, jar) under Punjab Pre-emption Act, 1991, and sale price determination.",Civil
Supreme Court examines writ maintainability against land partition remand order by Board of Revenue regarding naqsha jeem objections.,Civil
"Supreme Court interprets Income Tax Ordinance sections 65D, 148, 159 regarding 100% tax credit as distinct from exemption for advance tax certificates.",Civil
"Supreme Court determines carry forward of tax holiday losses and unabsorbed depreciation allowance under Income Tax Ordinance, 1979.",Civil
No judgment text provided for analysis.,Civil
Income tax dispute: fertilizer manufacturers' relationship with marketing company for presumptive tax under Section 80-C; agency vs. outright sale.,Civil
Insurance company's liability for selling 'total loss' vehicle under Sale of Goods Act where buyer couldn't register it.,Civil
No judgment text provided for analysis.,Civil
Customs duty/sales tax exemption on imported dump trucks; defining 'plant' and SRO applicability based on import date.,Civil
"Civil servants' seniority dispute involving regularization of ad-hoc appointments via Sindh Acts 1994/2014, raising constitutional discrimination.",Constitutional
No case judgment text was provided for analysis.,Civil
"Appeal challenging High Court's revisional jurisdiction under CPC S.115 to decide merits in land ownership dispute, overturning appellate remand.",Civil
"Civil Appeal challenging High Court dismissal of suit for property co-ownership, declaration, injunction, and fraudulent mutation annulment.",Civil
SBP retired employees' pension increase claim rejected; court rules SBP regulations non-statutory post-autonomy amendment.,Civil
Unable to analyze: No discernible content found in the provided judgment text.,Civil
Tax dispute on disallowance of proportionate interest expense on loans due to investment in tax-exempt National Funds Bonds.,Civil
NAB appeals against High Court's bail grant for Sharif family; SC notes deficiencies but upholds bail discretion in accountability cases.,Criminal
"Supreme Court interprets conflicting SROs on excise duty for sugar export, favoring taxpayer due to fiscal ambiguity.",Civil
"PTET challenges compulsory Zakat deduction from Pension Fund, claiming non-sahib-e-nisab status; SC upholds deduction.",Constitutional
"Specific performance dispute for apartment sale, involving building approval, non-payment, and procedural validity of evidence.",Civil
"Contract employee regularization in government-owned TIP, despite cabinet directives; examining vested rights for long-serving staff.",Civil
"Cantonment Boards cannot levy professional taxes; Article 163 empowers provinces only. Supreme Court dismisses appeals, orders refunds.",Constitutional
"No judgment text provided for analysis, unable to extract case details.",Civil
Inheritance dispute: Supreme Court clarifies res judicata (S.11 CPC) applicability to Muslim Personal Law claims after prior suit dismissal.,Civil
Election disqualification under Article 62(1)(f) for non-disclosure of inherited assets; Court clarifies 'dishonest intent' vs. negligence.,Constitutional
SC clarifies Local Government member disqualification as government contractor under Sindh Act Section 36(1)(j) and Constitutional Article 63(1).,Constitutional
"SBP, SECP not liable as promoters/for fraudulent conduct under Companies Ordinance sections 412/413 in bank winding up.",Civil
"Pre-emption suit concerning agricultural land under Khyber Pakhtunkhwa Act, 1987, dismissed due to delayed demands and false price claim.",Civil
"Civil Appeal: project employee's claim for pensionary benefits denied; earlier judgments on regularization, service status, and finality affirmed.",Civil
"Whether medical product sterilization is 'manufacture' under Sales Tax Act 1990, subjecting it to sales tax; FBR appeal dismissed.",Civil
"Land dispute over cancelled sale mutation, challenging declaration and specific performance decree regarding ownership and possession.",Civil
Sales Tax Act dispute: input tax refund/adjustment on machinery/spare parts; time limit and Section 66 applicability.,Civil
"Contract employee regularization dispute: Appellant's termination challenged despite post conversion to permanent, citing discrimination by KPK government.",Civil
"Dispute over sales tax exemption withdrawal, challenging Federal Government's constitutional authority and Rules of Business validity.",Constitutional
"No judgment text provided, unable to analyze case details or context effectively.",Civil
"Civil appeal: Land title dispute, evacuee mortgage redemption, mutation legality under Displaced Persons Act; remanded for fresh adjudication.",Civil
Supreme Court upholds village name change notification as void for procedural irregularity and lack of public consultation under KP Local Councils Rules.,Civil
Banking Court's power for interim sale of pledged goods under Financial Institutions Ordinance 2001; res judicata on applications examined.,Civil
"Challenge to dismissal of plea for government accommodation retention by retired employee's spouse under new rules, claiming vested rights.",Civil
"FBR appeal on Income Tax Ordinance 2001 S. 4A surcharge calculation, reversing High Court on splitting tax year liability.",Civil
"Supreme Court rules B.Tech (Hons) not equivalent to B.Sc Engineering for PEC registration, affecting admissions, recruitment, promotions.",Civil
Bank AVP challenges demotion for negligence and fraud facilitation in pension payments; validity of disciplinary process questioned.,Civil
"Supreme Court clarifies Article 212(3) appeal maintainability from provincial tribunals in service matters, emphasizing Article 212(2) proviso application.",Constitutional
No judgment text provided to extract information.,Civil
"Supreme Court affirms FGEHF land acquisition for housing in Islamabad, upholding 'public purpose' and Land Acquisition Act applicability.",Constitutional
"Dispute over land acquisition compensation under 1894 Act, determining fair market value and owner's rights.",Civil
PTCL employee's VSS emolument and house building advance calculation dispute; Supreme Court directs recalculation based on correct basic pay.,Civil
"Kiosk plot cancellation from amenity land deemed illegal; allottee granted refund with 18% interest, denying market-rate compensation.",Civil
"Civil servant challenges deputationist absorption into ML&C Group, questioning rule hierarchy under Civil Servants Act and Constitution.",Constitutional
"Civil servant's pro-forma promotion claim after NAB plea bargain for corruption denied by Supreme Court, overturning High Court.",Civil
"Supreme Court upholds vires of Cr.P.C. Sections 22-A/25, confirming Justice of Peace's quasi-judicial powers over police non-registration/investigation.",Criminal
"Appeal against High Court allowing civil revision, rejecting plaint for damages over character certificate, citing abuse of process.",Civil
SC clarifies Civil Service Regulations: Contractual service doesn't count for pension eligibility; 10-year regular service required.,Civil
No judgment text provided for analysis and extraction.,Civil
Supreme Court reviews ECP's jurisdiction to void Punjab Assembly election for candidate's underage disqualification under Election Act 2017 and Constitution.,Constitutional
Election Commission's jurisdiction under Constitution Article 218(3) and Election Act Section 9(1) over pre-election qualification/disqualification and voiding polls.,Constitutional
"SC upholds dismissal of postmen for money order misappropriation, reversing FST's lenient view on breach of public trust.",Civil
"Supreme Court holds PTV license fees not subject to Federal Excise Duty, clarifying 'telecommunication services' interpretation under Customs Act.",Civil
No case text provided for analysis.,Civil
Challenge to regularization of contract project employees of semi-autonomous SHYDO; KPK Civil Servants Act deemed inapplicable to them.,Civil
"Challenge to PEMRA's ultra vires surcharge demand on late annual license fees upheld by Supreme Court, dismissing appeal.",Constitutional
Compulsory retirement appeal: LDA employee challenged disciplinary action under PEEDA; High Court's writ petition dismissal reversed.,Constitutional
Supreme Court upholds minor female heir's inheritance against fraudulent land mutation and bona fide purchaser claims due to void ab initio transaction.,Civil
Income tax on dividend in specie: retrospective exemption (Clause 103B) and Section 150 deduction applicability under Income Tax Ordinance 2001.,Civil
"SC upholds High Court setting aside concurrent property title/possession findings for misreading evidence, limitation, and appellant's failure of proof.",Civil
"Promotion challenge of Associate Professor of Cardiology (BPS-19) and vires of PMDC Regulations 2011, Regulation 19.",Civil
"Appeals challenging civil court jurisdiction over evacuee trust property, specific performance, and setting aside decrees under CPC Section 12(2) for fraud.",Civil
Supreme Court upholds Federal Service Tribunal's order: daily wage service for teachers counts towards pay protection and pensionary benefits.,Civil
"Commercial arbitration dispute over gas supply ""Take or Pay"" clause, unjust enrichment, and foreign arbitral award enforcement under public policy.",Civil
Appeal challenging dismissal of suit for gift mutation cancellation; donor's prior affirmation of gift decisive under Muhammadan Law.,Civil
"Civil Court jurisdiction over foreign property in administration suit, applying CPC and private international law principles.",Civil
"QDA's appeal against reinstatement of employees whose appointments were cancelled due to financial issues, upholding equality and res judicata.",Civil
Defining scope of direct Supreme Court appeal under Companies Ordinance Section 10(1) for winding-up and post-winding up orders.,Civil
No case judgment text provided for analysis.,Civil
Supreme Court determines if Section 107 tax credits reduce asset's actual cost for depreciation allowance calculation under Income Tax Ordinance.,Civil
Civil appeal regarding former parliamentarian Qasim Khan Soori avoiding service of notice for personal attendance; court directs substituted service.,Civil
Dispute over regulatory duty on customs-exempt life-saving drugs; challenging SRO 1050(1)/95 and proper legal forum.,Constitutional
"Property dispute over inherited house; dower agreement validity under Qanun-e-Shahadat, concerning unproven execution and title transfer.",Civil
"Election appeal: SC sets aside runner-up declaration for corrupt practices, mandates fresh elections due to voter disenfranchisement.",Civil
"NAB appeals High Court's reinstatement of employee, arguing unauthorized absence cannot negate compulsory retirement despite extraordinary leave treatment.",Civil
"Supreme Court expresses concern over vacant Attorney-General post, a constitutional office, impeding proper legal assistance to Federal Government.",Constitutional
Election appeal over 207 ballot papers excluded due to missing Presiding Officer signatures; Court counts them to prevent voter disenfranchisement.,Civil
"Appeals challenge High Court judgment due to 15-month delay, remanding for fresh decision and setting judgment pronouncement timelines.",Constitutional
"Appeal challenging land acquisition compensation; Supreme Court modified compulsory charges, S.28-A, and interest under Land Acquisition Act.",Civil
Retired civil servant's proforma promotion dispute due to wrongly published statute; Supreme Court remanded for reconsideration.,Civil
Supreme Court remands Central Excise Duty evasion case to Appellate Tribunal; wrong section in show cause notice not fatal.,Civil
"Supreme Court restores co-sharer's land pre-emption rights, affirming valid Talabs, reversing High Court's erroneous dismissal.",Civil
"Supreme Court reverses High Court, ruling plaintiff failed to prove Talab-e-Ishhad and superior pre-emption right in land sale.",Civil
"Service appeal challenging FC punishment transfer and seniority reduction without due process, violating Article 10A and 13 of the Constitution.",Civil
"Compulsory retirement of GEPCO employee without inquiry, jurisdiction over service dispute, time-barred appeals, and abatement effect examined.",Civil
,Civil
"Pre-emption suit dismissed for failing to establish delivery/receipt of Talb-i-Ishhad notice, affirming High Court judgment on land dispute.",Civil
Interpretation of Article 207 Constitution: Can retired High Court judge practice before same court?,Constitutional
"Challenge to SCBA Rule 9(a) amendment clubbing Islamabad/Rawalpindi for presidency; held non-statutory, not amenable to writ jurisdiction.",Constitutional
Appeal against cancellation of land sale/exchange deeds based on executant's alleged unsound mind and registration fraud; burden of proof discussed.,Civil
,Civil
No judgment text provided for analysis.,Civil
Compromise effect on non-compoundable terrorism offense sentences; defining review process stages for reduction.,Criminal
Execution of UAE foreign decree in Pakistan; interpreting Section 44-A CPC regarding superior courts and reciprocating territory status.,Civil
"Appeal concerns specific performance for land sale, emphasizing mandatory attestation under Qanoon-e-Shahadat Order Article 79.",Civil
Civil appeal contesting pre-emption suit dismissal due to failure to prove Talb-e-Muwathibat and Talb-e-Ishhad with contradictory evidence.,Civil
"Student sued Preston University for damages due to unaccredited BEng program, upheld by Supreme Court, impacting educational standards.",Civil
"Civil appeal on competence and limitation for earnest money recovery suit after specific performance withdrawal, challenging Islamabad High Court.",Civil
"Property tax exemption for Evacuee Trust Board property; issue of ""lease in perpetuity"" under Urban Immovable Property Tax Act, 1958.",Civil
"Supreme Court defines ""definite information"" for tax evasion reward claim; reverses High Court on seafarers' non-payment issue.",Civil
"Supreme Court upholds enhanced compensation for land acquisition by Ministry of Defence, citing non-compliance with Land Acquisition Act notices.",Civil
"Dispute over retrospective deputation allowance for civil servant, rejecting FBR's limitation defense under Article 25.",Civil
"Appeal challenges dismissal due to unpaid court fees, examining CPC sections 148, 149, Order VII Rule 11, and benami land ownership.",Civil
No judgment text provided for analysis; unable to extract case details or categorize.,Civil
No judgment text provided for analysis; cannot derive case specifics.,Civil
No case judgment text provided for analysis.,Civil
Dispute over DHA plots: Benamidar vs. allottee vs. bona fide purchaser; SC modifies ownership based on entitlement and payment.,Civil
Cement manufacturer challenged discriminatory property tax under Articles 18 & 25; Court ordered equal treatment and refund of excess tax.,Constitutional
Supreme Court upholds National Bank's recovery suit for LGI's export re-finance default; dismisses LGI's damages claim.,Civil
"Civil servant promotion policy challenged: CSB's arbitrary 15-mark criteria based on personal knowledge, overriding service records, declared illegal.",Civil
,Civil
Shia inheritance: Widow's right to deceased husband's land; High Court misinterpreted childless widow rule for property share.,Civil
"Retrospective application of Income Tax Ordinance 2001, Section 122(2) amendment on tax assessment limitation periods, affecting vested rights, dismissed.",Civil
"Supreme Court dismisses appeals, upholding enhanced land acquisition compensation for POF extension, emphasizing market and potential value.",Civil
"SDA challenges High Court judgment on land acquisition compensation for Nowshera Industrial Estate, focusing on valuation methodology.",Civil
Proprietary title dispute of evacuee trust land: validity of acquisition by KDA/WCHS versus Haris' leases under MLR 57.,Civil
"Validity of second execution application for money decree, filed during pendency of first, concerning time-bar under CPC and Limitation Act.",Civil
Pre-emption suit clarifying if an 'agreement to sell' constitutes a complete 'sale' for exercising pre-emption rights under KPK law.,Civil
"Taxability of notional gain on subsidiary shares as business income under Income Tax Ordinance, 2001, and validity of assessment amendment.",Civil
Legality of warrantless search under Sales Tax Act s.40A for tax evasion records from non-business premises; departmental appeal allowed.,Civil
No judgment text provided for analysis.,Civil
"Supreme Court clarifies condonation of delay, time exclusion for appeals filed in wrong forum, interpreting Limitation Act Sections 5/14.",Civil
"Appeal challenges land gift to son, depriving female heirs; gift unproven, fraudulent deprivation of inheritance upheld.",Civil
"WAPDA appeals against enhanced land acquisition compensation for a drain project, disputing market value determination under Land Acquisition Act Section 23.",Civil
,Civil
Agro Tractors' appeal for zero-duty tractor import based on promissory estoppel after arbitrary scheme quashed by High Court.,Civil
Local government election nomination papers rejected over asset disclosure; SC clarifies Rule 18(3) for defect remedy discretion.,Civil
SC upholds ECP re-polling order for Sindh local election due to ballot symbol printing error materially affecting result.,Civil
"Sepoy's dismissal upheld; service appeal time-barred due to delayed departmental appeal, not excused by another's case.",Civil
No judgment text provided for analysis.,Civil
Supreme Court affirms High Court writ jurisdiction over public corporations' disciplinary actions under Removal from Service Ordinance 2000.,Constitutional
No case details provided; unable to summarize from empty judgment text.,Civil
"Dispute over Fauji Fertilizer's contract workers' employment status, illegal lock-out, and NIRC/Labour Court jurisdiction.",Civil
WAPDA's 20-year lease of Lakhra Power Plant to Associated Group set aside due to non-transparent process and irregularities by Supreme Court.,Constitutional
"Property dispute challenging validity of unregistered gift deeds (Hiba namas) for a house, requiring proof of execution and gift conditions.",Civil
"Sindh judicial appointments: SPSC role challenged, High Court's control emphasized for judicial independence; upholding separation of powers.",Constitutional
Zarai Taraqiati Bank employees challenged promotion criteria; Supreme Court affirmed old service rules' statutory status via 2002 Ordinance.,Civil
"SC directs authorities not to pressurize employees from cooperating in ANF ephedrine case investigation, regarding improper transfer.",Criminal
Supreme Court upholds National Sports Policy tenure restrictions on federations affiliated with Pakistan Sports Board; Article 17 not infringed.,Constitutional
"Specific performance suit: limitation period for agreement to sell mortgaged property runs from fixed date, not redemption.",Civil
"Supreme Court upheld High Court ruling: absorption of Sindh civil servants unconstitutional, violating service rules & fundamental rights.",Civil
"PTCL employee appeals over termination, VSS, regularization, challenging writ jurisdiction on statutory rules vs. Master-Servant principle.",Civil
Appeal for concurrent running of commuted life sentences under Cr.P.C. sections 35/397 to alleviate extreme hardship.,Criminal
