statement,priority
Challenge to Election Act Section 9(1) for ECP re-poll over low women voter turnout; constitutional validity upheld.,High
Dispute: Exclusive proprietary rights over a pathway in Abadi Deh versus common land for village community use.,Medium
"Legality of Finance Act amendments to labor welfare contributions (WWC, EOBI); defining whether levies are 'tax' or 'fee' under Constitution Article 73.",High
"Customs appeal on interpretation of ""smuggled goods"" under Customs Act 1969, Section 2(s), confiscation, and redemption fine per SRO 574.",Medium
Interpreting CSR Article 371-A for pensionary benefits of temporary government service and re-visiting Mir Ahmad Khan judgment.,High
"Supreme Court adjudicated employment termination, reinstatement, and back benefits, finding employees lacked bona fides for refusing reinstatement offer as workmen.",Medium
No judgment text provided for analysis; unable to extract case details or context.,Low
"Customs Act: Regulatory duty on scrap exports based on goods declaration date, not contract; interpreting Sections 31, 131.",Medium
"Daughter seeks 1/3 inheritance share in father's land; fraudulent mutation by brother cancelled, full property share restored.",Medium
Inheritance dispute over land; delayed challenge to mutations/sales. Bona fide purchaser (housing society) protected under Transfer of Property Act.,Medium
Customs Act 1969: Provisional assessment finality under S.81 doesn't preclude S.32 recovery of short-levied duty.,Medium
"Civil Appeal: appellant failed to prove Talb-i-Ishhad notice in pre-emption suit, dismissing claim.",Medium
"Election de-notification of MPA for false educational qualification declaration in 2008 election papers, violating Article 62(1)(f) of Constitution.",High
"Income tax appeals: minimum tax on 'turnover' including presumptive tax, and 'supply of goods' interpretation under Ordinances 1979/2001.",Medium
"NAB appeal clarifies Cr.P.C. witness re-examination; bars prosecution witnesses as defense, restoring Accountability Court decision.",High
Income tax assessment revision: retrospective application of ITO 2001's Section 122(5A) to repealed ITO 1979 assessments through saving clause.,High
"Election appeal: set aside voidance for unproven rigging, illegal practices, non-material effect on results under Representation of People Act.",High
"FBR appeals High Court decision on withdrawal of sales tax and excise duty exemptions, invoking Economic Reforms Act and vested rights.",High
"Supreme Court reviews fee regulation for private schools; upholds Punjab's 8% increase, directs Sindh to amend 5% cap to 8%.",High
"Income Tax appeal on disallowing business expenditure deduction for employee sports/social activities; not ""wholly and exclusively"" for business.",Medium
"Supreme Court examines vires of Punjab/Sindh laws imposing fee caps on private schools, balancing Article 18 and 25-A rights.",High
Adjournment granted in Civil Appeals concerning Workers Welfare Board/Fund due to counsel's funeral attendance.,Low
"Supreme Court upholds GIDC Act 2015 as valid fee, not tax, for gas infrastructure projects despite delays, with recovery directions.",High
"Constitutionality of GIDC Act, 2015 challenged; fiscal levy as fee lacks service timeline, deemed unconstitutional tax.",High
"CDA appeal regarding plot allotment, delayed payment charges, and contract misinterpretation by lower courts in a civil dispute.",Medium
"Specific performance suit for property sale denied due to limitation for owner, and plaintiff's failure to prove readiness/willingness.",Low
Constabulary personnel dismissed for insubordination; SC orders de novo inquiry due to Rule 18 procedural irregularities; High Court judgment partially set aside.,Medium
Customs duty dispute: Imported motorcycle components classification under PCT 87.11 vs. 87.14 and SRO 436(1)/2001 applicability.,Medium
"Appeals partly allowed, granting 8% compound interest on land acquisition compensation under S.34 Land Acquisition Act, 1894.",Low
"Income Tax Ordinance 2001: Appeal dismissed over lack of ""definite information"" for amending deemed assessment for undeclared property acquisition.",Medium
"Appeal against High Court judgment granting antedated/proforma promotion to civil servant, violating Article 212 and service rules.",Low
"Appeal dismissed: Gifts as withdrawal rights from firm's share, not via banking channels, not deemed income under S.12(18) ITO.",Medium
"Tax defaulter challenges property auction sale certificate and mutation, alleging fraud and procedural irregularities under Income Tax Rules.",Medium
"Cantonment Board lacked statutory authority under Cantonment Act, 1924 to levy parking fees on public transport vehicles; High Court judgment upheld.",Medium
,Low
"Evacuee property transfer cancellation appeal: Nedous Hotel land illegally allotted to respondent under Displaced Persons Act, Settlement Department jurisdiction affirmed.",High
"Empty judgment text; analysis of statement, priority, and category not possible.",Low
"Civil Appeal challenges High Court's fresh arbitration order in Cantonment Board's hoarding fee dispute, questioning writ jurisdiction against award.",Medium
Dispute over NEPRA's 'full strength' for tariff review: quorum vs. statutory composition under 1997 Act and 1998 Rules.,Medium
"Supreme Court dismisses appeal against setting aside civil servant's person-specific BPS-20 promotion, upholding seniority and anti-discrimination.",Medium
Upholding nullification of Provincial Assembly election for PP-97 due to polling station irregularities; ordering bye-elections.,High
No judgment text provided for analysis to extract case details.,Low
"Dispute over appointing authority and seniority of judicial officers under KPK Judicial Service Rules, 2001, between Chief Justice and High Court.",Medium
"SC rules Sindh High Court civil jurisdiction can hear customs tax exemption disputes, but sparingly, with 50% deposit.",High
"Police officers' seniority dispute settled by Supreme Court clarifying Rule 12.2(3): confirmation date is final, not appointment date.",Medium
"Specific performance suit for shop sale dismissed due to contract novation by unchallenged arbitration award, allowing eviction.",Medium
"Civil Appeal against FST judgment regarding removal from service of Assistant Librarian due to alleged over-age, despite age relaxation policy.",Medium
Bank Officer Grade-II/Manager is not a 'workman' under labour laws; Labour Court lacks jurisdiction for compulsory retirement grievance.,Medium
"Widow denied family pension due to deceased husband's insufficient qualifying service under University Pension Statute, despite assistance package.",Medium
Civil appeal on land sale; mutual mistake of fact regarding deficient area; money decree granted under Contract and Limitation Acts.,Low
SC dismissed military officers' appeals against court-martial conviction for not reporting war conspiracy; upheld dismissal and benefit cancellation.,High
SC affirms High Court's ruling: pecuniary jurisdiction for civil appeals in partition suits determined by plaint valuation.,Medium
Civil servant's appeal against disciplinary action; Tribunal failed to consider full evidence of fraud. Remanded for fresh decision.,Medium
"Civil appeal challenging officer's reinstatement by Service Tribunal; dismissal for misconduct converted due to inquiry defects, denial of cross-examination.",Medium
"WAPDA pension dispute: widow's claim for deceased Chowkidar's permanent post pension, service period affirmed.",Medium
Zakat exemption dispute for Pakistan Insurance Corporation; interpreting 'Sahib-e-Nisab' and government ownership under Zakat & Ushr Ordinance.,Medium
"Appeal against dismissal of specific performance suit for land sale due to limitation, unproven agreement, and co-owner authority issues.",Medium
"Government employee's pro forma promotion upheld despite DPC delay and superannuation, citing right to consideration.",Medium
"SCP reversed Tribunal's order for proforma promotion and post-creation for a deputationist civil servant, citing excess jurisdiction.",Medium
"Land dispute involving fraudulent sale transactions, revenue record tampering, and inheritance claims, affirming High Court's decision to restore ownership.",Medium
No judgment text provided for analysis.,Low
"Civil appeal dismissed as time-barred; concerned land ownership dispute, declaration suit, and consequential reliefs under Limitation Act.",Medium
"Supreme Court holds missing Board Resolution for filing insurance claim is curable defect, reversing High Court's dismissal.",Medium
Appeal against a suspect gift mutation depriving legal heirs; upholds Islamic inheritance principles and directs property distribution.,Medium
,Low
Civil appeal on suit revival after ex-parte specific performance decree annulled for fraud/misrepresentation under Section 12(2) CPC.,Medium
"Challenge to Punjab Civil Servants' special zone reservation policy found unconstitutional, ultra vires Article 27(1); appeals dismissed.",High
Property attachment by bank; 2001 Ordinance Section 23(2) not retrospective to pre-existing Banking Court decree and sale deed.,Medium
"Civil appeal regarding specific performance of agricultural land sale, challenging High Court's dismissal over balance sale consideration deposit.",Medium
"Civil servants' promotion regularization from acting charge or vacancy date upheld, dismissing Sindh government appeal.",Medium
"Enforceability of specific performance for unsigned agreements to sell immovable property under Contract Act, Specific Relief Act.",High
"Civil servant promotion dispute: counting prior departmental service for BPS-18/19 eligibility under S.I. 157, remanding to Tribunal.",Medium
SC mandates candidate disclosure of omitted information via affidavit for 2018 General Elections under Elections Act 2017 for transparency.,High
"SC reverses High Court, dismisses ""Shezan"" trade mark registration for lack of distinctiveness and deception, upholding appellant's prior rights.",Medium
"Supreme Court dissolved PMDC, constituting an ad-hoc council to run its affairs after appeals and petitions.",High
Placeholder for empty judgment text; no specific legal issues identified.,Low
"FPSC civil appeal regarding post-qualification experience for Executive Director (BS-21) recruitment, overturning High Court judgment on eligibility rules.",Medium
Appeals dismissed: Sindh Employees' Social Security Act's fixed contribution rates and minimum wage-based employer demands upheld by Supreme Court.,High
"Appeal dismissed: SC affirms ATC jurisdiction in multiple murder case from property dispute, interpreting 'design' for terrorism under ATA.",High
"Civil appeal on land ownership dispute (shamilat) of public school, deemed time-barred under Limitation Act by Supreme Court.",Medium
"Land ownership dispute over Sangota Public School property, initially shamlat, deemed time-barred; emphasizes girls' education importance.",High
Civil appeal: house title dispute involving Benami transaction where respondent provided funds; legatees defend against real owner's claim.,Medium
Empty judgment text; unable to derive case information or details for analysis.,Low
"KMC land lease dispute: Appellant's claim to additional plot dismissed as time-barred, lacking possession and legal character under Specific Relief Act.",Medium
"Supreme Court upholds Chief Minister's discretion in Vice Chancellor appointment under K.P. Universities Act, overturning High Court.",High
"SC rules PMDC admissions regulations invalid, strikes down repeated ordinances, asserting parliamentary supremacy over executive legislation and CCI.",High
"Dispute over land acquisition compensation for Fazle Haq College under Land Acquisition Act, 1894, seeking enhanced market value.",Medium
"Supreme Court rejected provincial employees' pay parity claim with federal staff, upholding federalism and budgetary autonomy.",Medium
Civil appeal concerning land dispute; fraudulent registered sale deeds and minor's contract invalidation affirmed.,Medium
,Low
"Civil Appeal: Engineer's transfers, PEC registration for government work, and resolving Supreme Court conflict on PEC Act applicability, Article 25.",High
"SC: Redundancy from modernization is 'good cause' for newspaper employee termination, not bound by expired settlement.",Medium
"Supreme Court interprets QSO Article 128 and Evidence Act 1872 on admissibility of evidence, including DNA and witness testimony.",High
Landlord's ejectment plea based on unpaid maintenance charges not in lease deed; interpreting 'rent' under Sindh Rented Premises Ordinance.,Medium
"Civil appeal clarifies corporate authorization for suit institution, indoor management rule, and tentatively supports ratification of defects.",High
"SC examines PMDC admission regulations, validity of lapsed Ordinances amending PMDC Ordinance, and CCI's role in legislation.",High
,Low
"SC Pakistan interprets Double Taxation Convention; software lease payments are royalties, not exempt business profits.",Medium
"SC interprets Sales Tax exemption SRO 77(I)/95 on imported/local plant machinery, differentiating factual review in writ petitions and tax references.",Medium
"Daughter challenges validity of father's property gift/mutations to sons, impacting her Shariah inheritance share.",Low
"PIAC appeals EOBI decision declaring kitchen/engineering departments 'establishments' under Old-Age Benefits Act, challenging statutory body exemptions.",Medium
Civil appeal challenging High Court's reversal on fraudulent gift mutations and property devolution among legal heirs.,Low
Inheritance dispute over agricultural land; limited ownership termination under customary law and devolution under Shariat; limitation for co-sharers.,Medium
"No judgment text provided, unable to analyze and extract case details.",Low
"Supreme Court clarifies High Court's jurisdiction on civil servant post upgradation, ruling Article 212(3) no bar.",High
Specific performance of an unsigned agreement for sale; validity confirmed by consent and part payment despite lacking signature.,Medium
"Upholding daughter's inheritance under Islamic law, rejecting fraudulent gift mutation, emphasizing female heir protection and state's role.",High
WAPDA widow's pension claim upheld; deceased Chowkidar considered permanent employee with qualifying service for benefits.,Medium
Civil appeals on pre-emption suits concerning valid presentation before Tehsildar in Civil Judge's absence and limitation period.,Medium
"SC interprets Punjab Pre-emption Act S.23, adding 'purchase' to exempt Waqf/charitable property from pre-emption rights.",Medium
"KPK Govt. appeals High Court's decision on PMS 10% reserved quota rule amendment, denying attached department employees.",Medium
"PEMRA Chairman's dismissal challenged due to illegal self-appointment, tenure violation, and improper inquiry, but Supreme Court upheld it.",High
"Supreme Court dismisses appeal against Election Tribunal's order voiding NA-267 results due to rigging, vote irregularities.",High
"Seniority dispute of civil servant probationers; 2001 rules amendment cannot retrospectively apply, infringing legitimate expectation.",Medium
No judgment text provided; cannot perform legal analysis.,Low
No case text provided for analysis; cannot extract details.,Low
No case text provided for analysis; unable to derive specific details.,Low
No judgment text provided for analysis; cannot extract case details.,Low
"Supreme Court upholds Punjab Government's ban on new/expanding sugar mills under Industries Act, 1963, citing national interest and Article 18 constitutionality.",High
Dispute over Zarai Traqiati Bank's refusal to regularize Management Trainees performing officer duties after contract expiry.,Medium
"Appeal challenging pre-emption rights (shafi sharik, khalit, jar) under Punjab Pre-emption Act, 1991, and sale price determination.",Medium
Supreme Court examines writ maintainability against land partition remand order by Board of Revenue regarding naqsha jeem objections.,Medium
"Supreme Court interprets Income Tax Ordinance sections 65D, 148, 159 regarding 100% tax credit as distinct from exemption for advance tax certificates.",Medium
"Supreme Court determines carry forward of tax holiday losses and unabsorbed depreciation allowance under Income Tax Ordinance, 1979.",High
No judgment text provided for analysis.,Low
Income tax dispute: fertilizer manufacturers' relationship with marketing company for presumptive tax under Section 80-C; agency vs. outright sale.,Medium
Insurance company's liability for selling 'total loss' vehicle under Sale of Goods Act where buyer couldn't register it.,Medium
No judgment text provided for analysis.,Low
Customs duty/sales tax exemption on imported dump trucks; defining 'plant' and SRO applicability based on import date.,Medium
"Civil servants' seniority dispute involving regularization of ad-hoc appointments via Sindh Acts 1994/2014, raising constitutional discrimination.",High
No case judgment text was provided for analysis.,Low
"Appeal challenging High Court's revisional jurisdiction under CPC S.115 to decide merits in land ownership dispute, overturning appellate remand.",Medium
"Civil Appeal challenging High Court dismissal of suit for property co-ownership, declaration, injunction, and fraudulent mutation annulment.",Low
SBP retired employees' pension increase claim rejected; court rules SBP regulations non-statutory post-autonomy amendment.,Medium
Unable to analyze: No discernible content found in the provided judgment text.,Low
Tax dispute on disallowance of proportionate interest expense on loans due to investment in tax-exempt National Funds Bonds.,Low
NAB appeals against High Court's bail grant for Sharif family; SC notes deficiencies but upholds bail discretion in accountability cases.,High
"Supreme Court interprets conflicting SROs on excise duty for sugar export, favoring taxpayer due to fiscal ambiguity.",Medium
"PTET challenges compulsory Zakat deduction from Pension Fund, claiming non-sahib-e-nisab status; SC upholds deduction.",High
"Specific performance dispute for apartment sale, involving building approval, non-payment, and procedural validity of evidence.",Medium
"Contract employee regularization in government-owned TIP, despite cabinet directives; examining vested rights for long-serving staff.",High
"Cantonment Boards cannot levy professional taxes; Article 163 empowers provinces only. Supreme Court dismisses appeals, orders refunds.",High
"No judgment text provided for analysis, unable to extract case details.",Low
Inheritance dispute: Supreme Court clarifies res judicata (S.11 CPC) applicability to Muslim Personal Law claims after prior suit dismissal.,Low
Election disqualification under Article 62(1)(f) for non-disclosure of inherited assets; Court clarifies 'dishonest intent' vs. negligence.,High
SC clarifies Local Government member disqualification as government contractor under Sindh Act Section 36(1)(j) and Constitutional Article 63(1).,Medium
"SBP, SECP not liable as promoters/for fraudulent conduct under Companies Ordinance sections 412/413 in bank winding up.",High
"Pre-emption suit concerning agricultural land under Khyber Pakhtunkhwa Act, 1987, dismissed due to delayed demands and false price claim.",Medium
"Civil Appeal: project employee's claim for pensionary benefits denied; earlier judgments on regularization, service status, and finality affirmed.",Medium
"Whether medical product sterilization is 'manufacture' under Sales Tax Act 1990, subjecting it to sales tax; FBR appeal dismissed.",Medium
"Land dispute over cancelled sale mutation, challenging declaration and specific performance decree regarding ownership and possession.",Medium
Sales Tax Act dispute: input tax refund/adjustment on machinery/spare parts; time limit and Section 66 applicability.,High
"Contract employee regularization dispute: Appellant's termination challenged despite post conversion to permanent, citing discrimination by KPK government.",Medium
"Dispute over sales tax exemption withdrawal, challenging Federal Government's constitutional authority and Rules of Business validity.",High
"No judgment text provided, unable to analyze case details or context effectively.",Low
"Civil appeal: Land title dispute, evacuee mortgage redemption, mutation legality under Displaced Persons Act; remanded for fresh adjudication.",Medium
Supreme Court upholds village name change notification as void for procedural irregularity and lack of public consultation under KP Local Councils Rules.,Medium
Banking Court's power for interim sale of pledged goods under Financial Institutions Ordinance 2001; res judicata on applications examined.,High
"Challenge to dismissal of plea for government accommodation retention by retired employee's spouse under new rules, claiming vested rights.",Medium
"FBR appeal on Income Tax Ordinance 2001 S. 4A surcharge calculation, reversing High Court on splitting tax year liability.",Medium
"Supreme Court rules B.Tech (Hons) not equivalent to B.Sc Engineering for PEC registration, affecting admissions, recruitment, promotions.",High
Bank AVP challenges demotion for negligence and fraud facilitation in pension payments; validity of disciplinary process questioned.,Medium
"Supreme Court clarifies Article 212(3) appeal maintainability from provincial tribunals in service matters, emphasizing Article 212(2) proviso application.",High
No judgment text provided to extract information.,Low
"Supreme Court affirms FGEHF land acquisition for housing in Islamabad, upholding 'public purpose' and Land Acquisition Act applicability.",High
"Dispute over land acquisition compensation under 1894 Act, determining fair market value and owner's rights.",Medium
PTCL employee's VSS emolument and house building advance calculation dispute; Supreme Court directs recalculation based on correct basic pay.,Medium
"Kiosk plot cancellation from amenity land deemed illegal; allottee granted refund with 18% interest, denying market-rate compensation.",Medium
"Civil servant challenges deputationist absorption into ML&C Group, questioning rule hierarchy under Civil Servants Act and Constitution.",Medium
"Civil servant's pro-forma promotion claim after NAB plea bargain for corruption denied by Supreme Court, overturning High Court.",Medium
"Supreme Court upholds vires of Cr.P.C. Sections 22-A/25, confirming Justice of Peace's quasi-judicial powers over police non-registration/investigation.",High
"Appeal against High Court allowing civil revision, rejecting plaint for damages over character certificate, citing abuse of process.",Low
SC clarifies Civil Service Regulations: Contractual service doesn't count for pension eligibility; 10-year regular service required.,Medium
No judgment text provided for analysis and extraction.,Low
Supreme Court reviews ECP's jurisdiction to void Punjab Assembly election for candidate's underage disqualification under Election Act 2017 and Constitution.,High
Election Commission's jurisdiction under Constitution Article 218(3) and Election Act Section 9(1) over pre-election qualification/disqualification and voiding polls.,High
"SC upholds dismissal of postmen for money order misappropriation, reversing FST's lenient view on breach of public trust.",Medium
"Supreme Court holds PTV license fees not subject to Federal Excise Duty, clarifying 'telecommunication services' interpretation under Customs Act.",Medium
No case text provided for analysis.,Low
Challenge to regularization of contract project employees of semi-autonomous SHYDO; KPK Civil Servants Act deemed inapplicable to them.,Medium
"Challenge to PEMRA's ultra vires surcharge demand on late annual license fees upheld by Supreme Court, dismissing appeal.",Medium
Compulsory retirement appeal: LDA employee challenged disciplinary action under PEEDA; High Court's writ petition dismissal reversed.,High
Supreme Court upholds minor female heir's inheritance against fraudulent land mutation and bona fide purchaser claims due to void ab initio transaction.,High
Income tax on dividend in specie: retrospective exemption (Clause 103B) and Section 150 deduction applicability under Income Tax Ordinance 2001.,Medium
"SC upholds High Court setting aside concurrent property title/possession findings for misreading evidence, limitation, and appellant's failure of proof.",Medium
"Promotion challenge of Associate Professor of Cardiology (BPS-19) and vires of PMDC Regulations 2011, Regulation 19.",Medium
"Appeals challenging civil court jurisdiction over evacuee trust property, specific performance, and setting aside decrees under CPC Section 12(2) for fraud.",High
Supreme Court upholds Federal Service Tribunal's order: daily wage service for teachers counts towards pay protection and pensionary benefits.,High
"Commercial arbitration dispute over gas supply ""Take or Pay"" clause, unjust enrichment, and foreign arbitral award enforcement under public policy.",Medium
Appeal challenging dismissal of suit for gift mutation cancellation; donor's prior affirmation of gift decisive under Muhammadan Law.,Low
"Civil Court jurisdiction over foreign property in administration suit, applying CPC and private international law principles.",Medium
"QDA's appeal against reinstatement of employees whose appointments were cancelled due to financial issues, upholding equality and res judicata.",Medium
Defining scope of direct Supreme Court appeal under Companies Ordinance Section 10(1) for winding-up and post-winding up orders.,High
No case judgment text provided for analysis.,Low
Supreme Court determines if Section 107 tax credits reduce asset's actual cost for depreciation allowance calculation under Income Tax Ordinance.,Medium
Civil appeal regarding former parliamentarian Qasim Khan Soori avoiding service of notice for personal attendance; court directs substituted service.,Medium
Dispute over regulatory duty on customs-exempt life-saving drugs; challenging SRO 1050(1)/95 and proper legal forum.,Medium
"Property dispute over inherited house; dower agreement validity under Qanun-e-Shahadat, concerning unproven execution and title transfer.",Medium
"Election appeal: SC sets aside runner-up declaration for corrupt practices, mandates fresh elections due to voter disenfranchisement.",High
"NAB appeals High Court's reinstatement of employee, arguing unauthorized absence cannot negate compulsory retirement despite extraordinary leave treatment.",Medium
"Supreme Court expresses concern over vacant Attorney-General post, a constitutional office, impeding proper legal assistance to Federal Government.",High
Election appeal over 207 ballot papers excluded due to missing Presiding Officer signatures; Court counts them to prevent voter disenfranchisement.,High
"Appeals challenge High Court judgment due to 15-month delay, remanding for fresh decision and setting judgment pronouncement timelines.",High
"Appeal challenging land acquisition compensation; Supreme Court modified compulsory charges, S.28-A, and interest under Land Acquisition Act.",Medium
Retired civil servant's proforma promotion dispute due to wrongly published statute; Supreme Court remanded for reconsideration.,Medium
Supreme Court remands Central Excise Duty evasion case to Appellate Tribunal; wrong section in show cause notice not fatal.,Medium
"Supreme Court restores co-sharer's land pre-emption rights, affirming valid Talabs, reversing High Court's erroneous dismissal.",Medium
"Supreme Court reverses High Court, ruling plaintiff failed to prove Talab-e-Ishhad and superior pre-emption right in land sale.",Medium
"Service appeal challenging FC punishment transfer and seniority reduction without due process, violating Article 10A and 13 of the Constitution.",Medium
"Compulsory retirement of GEPCO employee without inquiry, jurisdiction over service dispute, time-barred appeals, and abatement effect examined.",Medium
,Low
"Pre-emption suit dismissed for failing to establish delivery/receipt of Talb-i-Ishhad notice, affirming High Court judgment on land dispute.",Low
Interpretation of Article 207 Constitution: Can retired High Court judge practice before same court?,High
"Challenge to SCBA Rule 9(a) amendment clubbing Islamabad/Rawalpindi for presidency; held non-statutory, not amenable to writ jurisdiction.",Low
Appeal against cancellation of land sale/exchange deeds based on executant's alleged unsound mind and registration fraud; burden of proof discussed.,Medium
,Low
No judgment text provided for analysis.,Low
Compromise effect on non-compoundable terrorism offense sentences; defining review process stages for reduction.,High
Execution of UAE foreign decree in Pakistan; interpreting Section 44-A CPC regarding superior courts and reciprocating territory status.,Medium
"Appeal concerns specific performance for land sale, emphasizing mandatory attestation under Qanoon-e-Shahadat Order Article 79.",Medium
Civil appeal contesting pre-emption suit dismissal due to failure to prove Talb-e-Muwathibat and Talb-e-Ishhad with contradictory evidence.,Low
"Student sued Preston University for damages due to unaccredited BEng program, upheld by Supreme Court, impacting educational standards.",Medium
"Civil appeal on competence and limitation for earnest money recovery suit after specific performance withdrawal, challenging Islamabad High Court.",Medium
"Property tax exemption for Evacuee Trust Board property; issue of ""lease in perpetuity"" under Urban Immovable Property Tax Act, 1958.",Medium
"Supreme Court defines ""definite information"" for tax evasion reward claim; reverses High Court on seafarers' non-payment issue.",Low
"Supreme Court upholds enhanced compensation for land acquisition by Ministry of Defence, citing non-compliance with Land Acquisition Act notices.",Medium
"Dispute over retrospective deputation allowance for civil servant, rejecting FBR's limitation defense under Article 25.",Medium
"Appeal challenges dismissal due to unpaid court fees, examining CPC sections 148, 149, Order VII Rule 11, and benami land ownership.",High
No judgment text provided for analysis; unable to extract case details or categorize.,Low
No judgment text provided for analysis; cannot derive case specifics.,Low
No case judgment text provided for analysis.,Low
Dispute over DHA plots: Benamidar vs. allottee vs. bona fide purchaser; SC modifies ownership based on entitlement and payment.,Low
Cement manufacturer challenged discriminatory property tax under Articles 18 & 25; Court ordered equal treatment and refund of excess tax.,Medium
Supreme Court upholds National Bank's recovery suit for LGI's export re-finance default; dismisses LGI's damages claim.,Medium
"Civil servant promotion policy challenged: CSB's arbitrary 15-mark criteria based on personal knowledge, overriding service records, declared illegal.",High
,Low
Shia inheritance: Widow's right to deceased husband's land; High Court misinterpreted childless widow rule for property share.,Medium
"Retrospective application of Income Tax Ordinance 2001, Section 122(2) amendment on tax assessment limitation periods, affecting vested rights, dismissed.",High
"Supreme Court dismisses appeals, upholding enhanced land acquisition compensation for POF extension, emphasizing market and potential value.",High
"SDA challenges High Court judgment on land acquisition compensation for Nowshera Industrial Estate, focusing on valuation methodology.",Medium
Proprietary title dispute of evacuee trust land: validity of acquisition by KDA/WCHS versus Haris' leases under MLR 57.,High
"Validity of second execution application for money decree, filed during pendency of first, concerning time-bar under CPC and Limitation Act.",Medium
Pre-emption suit clarifying if an 'agreement to sell' constitutes a complete 'sale' for exercising pre-emption rights under KPK law.,Medium
"Taxability of notional gain on subsidiary shares as business income under Income Tax Ordinance, 2001, and validity of assessment amendment.",High
Legality of warrantless search under Sales Tax Act s.40A for tax evasion records from non-business premises; departmental appeal allowed.,Medium
No judgment text provided for analysis.,Low
"Supreme Court clarifies condonation of delay, time exclusion for appeals filed in wrong forum, interpreting Limitation Act Sections 5/14.",High
"Appeal challenges land gift to son, depriving female heirs; gift unproven, fraudulent deprivation of inheritance upheld.",Medium
"WAPDA appeals against enhanced land acquisition compensation for a drain project, disputing market value determination under Land Acquisition Act Section 23.",Medium
,Low
Agro Tractors' appeal for zero-duty tractor import based on promissory estoppel after arbitrary scheme quashed by High Court.,Medium
Local government election nomination papers rejected over asset disclosure; SC clarifies Rule 18(3) for defect remedy discretion.,High
SC upholds ECP re-polling order for Sindh local election due to ballot symbol printing error materially affecting result.,High
"Sepoy's dismissal upheld; service appeal time-barred due to delayed departmental appeal, not excused by another's case.",Medium
No judgment text provided for analysis.,Low
Supreme Court affirms High Court writ jurisdiction over public corporations' disciplinary actions under Removal from Service Ordinance 2000.,High
No case details provided; unable to summarize from empty judgment text.,Low
"Dispute over Fauji Fertilizer's contract workers' employment status, illegal lock-out, and NIRC/Labour Court jurisdiction.",High
WAPDA's 20-year lease of Lakhra Power Plant to Associated Group set aside due to non-transparent process and irregularities by Supreme Court.,High
"Property dispute challenging validity of unregistered gift deeds (Hiba namas) for a house, requiring proof of execution and gift conditions.",Medium
"Sindh judicial appointments: SPSC role challenged, High Court's control emphasized for judicial independence; upholding separation of powers.",High
Zarai Taraqiati Bank employees challenged promotion criteria; Supreme Court affirmed old service rules' statutory status via 2002 Ordinance.,Medium
"SC directs authorities not to pressurize employees from cooperating in ANF ephedrine case investigation, regarding improper transfer.",High
Supreme Court upholds National Sports Policy tenure restrictions on federations affiliated with Pakistan Sports Board; Article 17 not infringed.,Medium
"Specific performance suit: limitation period for agreement to sell mortgaged property runs from fixed date, not redemption.",Medium
"Supreme Court upheld High Court ruling: absorption of Sindh civil servants unconstitutional, violating service rules & fundamental rights.",High
"PTCL employee appeals over termination, VSS, regularization, challenging writ jurisdiction on statutory rules vs. Master-Servant principle.",High
Appeal for concurrent running of commuted life sentences under Cr.P.C. sections 35/397 to alleviate extreme hardship.,High
Pre-emption suit limitation dispute: execution versus registration date of sale deed under Punjab Pre-emption and Limitation Acts.,Medium
"Election challenge: National Assembly member disqualified for bogus BA degree via impersonation, violating Article 62(1)(f) of Constitution.",High
"SC reverses High Court's interference in Executive's Hajj Policy, citing violation of trichotomy of powers under Article 199.",High
"SC overturns High Court's Hajj quota bidding order, affirming executive policy domain and trichotomy of powers.",High
Income Tax Ordinance 2001: Retrospective application of section 122 for amending assessments finalized under repealed Ordinance.,High
Federal Tax Ombudsman Ordinance: Scope of representation to President against review order versus initial recommendation under Section 32.,Medium
Dispute on retrospective seniority for provincial police officers encadred into PSP; conflicting rules interpretation on appointment date vs. vacancy date.,Medium
"Supreme Court assessed constitutionality of Gas Infrastructure Development Cess (GIDC) under Article 73, determining if it's a tax or fee.",High
"Election appeal challenging voided election due to non-disclosure of assets under Representation of the People Act, 1976; constitutional validity upheld.",High
"Dispute over medical college Self-Finance Scheme fees, bank guarantee, and alleged discrimination; Supreme Court applies estoppel, upholds differentiated policy.",Medium
"Rejection of election nomination papers (NA 261), appeal against High Court order, appellant restrained from oath pending decision.",High
"Appeal against Registrar's refusal to register Constitution Petition, clarifying Registrar's powers regarding maintainability under Article 184(3).",Medium
"Supreme Court dismisses review applications regarding Chief Justice's prerogative to constitute benches for review petitions, interpreting 'as far as practicable'.",Medium
"Karachi Supreme Court orders removal of billboards/hoardings from public property, defining public space, citing civil rights and public safety concerns.",High
"Supreme Court reviews progress on water cess levy, conservation measures, and WASA bill payment by industrial/bottling units.",High
"Suo Motu case on uncharged groundwater extraction, bottled water fitness, water cess, conservation, and regulatory measures.",High
Supreme Court restrains Bahria Town development on state land; clarifies MDA authority and land allotment orders.,High
"Supreme Court voids Bahria Town land exchange by MDA, violating COGLA 1912, citing illegal land adjustments and undervaluation.",High
"SC questions constitutionality of discretionary Rs500m development grants for lawmakers, citing prior judgment requiring parliamentary procedure.",High
Supreme Court disposes of petition regarding distribution of development funds to MNAs/MPAs by Prime Minister after government assurances.,High
"SC challenges PM's alleged unconstitutional development funds distribution and CJ's arbitrary bench reconstitution, restraining a judge.",High
Application for return of surety in NAB corruption case dismissed; deposited amount for bail was admitted liability for fine.,High
